"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","High risk","Unclear risk","CD003962","Li 2008e"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Li 2013d"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Li 2013e"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Unclear risk","CD003962","Liu 2007"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Liu 2012"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Liu 2016e"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Liu 2019"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","High risk","Unclear risk","CD003962","Lv 2009a"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Maschio 1994"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","High risk","Low risk","CD003962","NA IgAN 1995"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Nakamura 2000"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","High risk","Low risk","CD003962","Nakamura 2007"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","High risk","Unclear risk","CD003962","Nakao 2001"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Unclear risk","CD003962","Panichi 2000"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Park  2003"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD003962","Perico 1998"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Pettersson 1994"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Praga 2003"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","High risk","CD003962","Qian 1987"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Roccatello 2000"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD003962","Ross 2003"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Russo 2001"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD003962","Sato 1990"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Unclear risk","CD003962","Shi 2002"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Shi 2012"
"Unclear risk","Low risk","High risk","Unclear risk",NA,"Low risk","High risk","High risk","CD003962","Shima 2018"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD003962","Shima 2019"
"Unclear risk","Low risk","High risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Shimizu 2008"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","High risk","Unclear risk","CD003962","Song 2003"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","High risk","CD003962","Szeto 2013"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Unclear risk","CD003962","Tesar 1999"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Wei 2013"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Woo 2000"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD003962","Woo 2008"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD003962","Wu 2003"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Wu 2016"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD003962","Xiaowei 2020"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Yang 2016"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD003962","Ye 2014"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD003962","Yoshikawa 1997"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","High risk","Unclear risk","CD003962","Zhou 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Alexander 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD004065","Alexander 2017"
"Unclear risk","Low risk","Low risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD004065","Assa'ad 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD004065","Bhardwaj 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD004065","Butz 2014"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD004065","Clayton 2014"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2021b"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2022"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2022a"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dellon 2022b"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD004065","De Rooij 2022"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Dohil 2010"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Gupta 2015"
"Low risk","Low risk","High risk","High risk",NA,"Unclear risk","High risk","Low risk","CD004065","Heine 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Hirano 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Hirano 2020"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD004065","Hirano 2020f"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Hirano 2021"
"Low risk","Low risk","High risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD004065","Kliewer 2019"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD004065","Kliewer 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Konikoff 2006"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Lieberman 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Lucendo 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD004065","Miehlke 2016"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Moawad 2013"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD004065","Oliva 2018"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","High risk","Low risk","CD004065","Peterson 2010"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Rothenberg 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD004065","Rothenberg 2022"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Schaefer 2008"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Spergel 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Spergel 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Straumann 2010a"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD004065","Straumann 2010b"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD004065","Straumann 2011"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD004065","Straumann 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Straumann 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD004065","Tytor 2021"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004184","Acelajado 2012"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","Unclear risk","CD004184","Bernard-Fernier 1994"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Calvo 2006a"
"Low risk","Low risk",NA,NA,"Low risk","Unclear risk","Unclear risk","Unclear risk","CD004184","Glasser 2003"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","Unclear risk","Unclear risk","CD004184","Gorbunov 2009"
"Low risk","High risk",NA,NA,"Low risk","Unclear risk","Unclear risk","Unclear risk","CD004184","Hermida 2003a"
"Low risk","High risk",NA,NA,"Low risk","Unclear risk","High risk","Low risk","CD004184","Hermida 2004"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2005b"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2005c"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2007a"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2007b"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2008a"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2008b"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2009a"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk","Low risk","Low risk","CD004184","Hermida 2009b"
"Low risk","High risk",NA,NA,"Low risk","Low risk","High risk","Low risk","CD004184","Hermida 2009c"
"Low risk","Low risk",NA,NA,"High risk","High risk","Low risk","Low risk","CD004184","Liu J 2021"
"Low risk","Unclear risk",NA,NA,"High risk","Low risk","Unclear risk","Unclear risk","CD004184","Meilhac 1992"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","Unclear risk","Unclear risk","CD004184","Morgan 1997"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","Unclear risk","Unclear risk","CD004184","Myburgh 1995"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004184","Neutel 2005"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","Unclear risk","Unclear risk","CD004184","Nold 1998"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004184","Palatini 1992"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004184","Pechere-Bertschi 1998"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004184","Qiu 2003"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004184","White 1999a"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk","Low risk","Low risk","CD004184","Zappe 2015"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk","Low risk","Unclear risk","CD004197","ALPINE2 2017"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Low risk","Low risk","CD004197","EARLY 2019"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Low risk","High risk","CD004197","Gibson 2003"
"Low risk","Low risk",NA,NA,"Low risk","Unclear risk","Low risk","Low risk","CD004197","OPTIMIZE 2018"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","High risk","Unclear risk","CD004197","Proesmans 2013"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","High risk","Unclear risk","CD004197","Ratjen 2010"
"Low risk","Low risk",NA,NA,"High risk","Low risk","Unclear risk","Low risk","CD004197","Taccetti 2012"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk","Low risk","Low risk","CD004197","TORPEDO 2020"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk","Low risk","Low risk","CD004197","Treggiari 2011"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004197","Valerius 1991"
"Low risk","Unclear risk",NA,NA,"Low risk","Unclear risk","High risk","Low risk","CD004197","Wiesemann 1998"
"Unclear risk","High risk",NA,"Unclear risk","High risk","Low risk","Low risk",NA,"CD004205","Adel 2010"
"Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","Low risk",NA,"CD004205","Akdag 2014"
"Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","Low risk",NA,"CD004205","Ali 2006"
"Unclear risk","Unclear risk",NA,"Low risk","Low risk","High risk","Unclear risk",NA,"CD004205","Lauterbach 1996"
"Low risk","Low risk",NA,"Unclear risk","Low risk","High risk","Unclear risk",NA,"CD004205","Lauterbach 1999"
"Low risk","Low risk",NA,"Low risk","Low risk","Low risk","Low risk",NA,"CD004205","Shabaan 2015"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Adel 2010"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Akdag 2014"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Ali 2006"
NA,NA,NA,NA,NA,NA,NA,"Unclear risk",NA,"Lauterbach 1996"
NA,NA,NA,NA,NA,NA,NA,"Unclear risk",NA,"Lauterbach 1999"
NA,NA,NA,NA,NA,NA,NA,"Low risk",NA,"Shabaan 2015"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","Bachand 1991"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk","Unclear risk","Unclear risk","CD004406","Carbon 1995"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","High risk","CD004406","Disney 1992a"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","High risk","CD004406","Disney 1992b"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk","Unclear risk","High risk","CD004406","Henness 1982"
"Unclear risk","Low risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","Jackson 1973"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","Unclear risk","CD004406","Levenstein 1991"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","McCarty 1992a"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","Muller 1992"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","NCT00643149"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk","Unclear risk","High risk","CD004406","Nemeth 1999"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","High risk","CD004406","Norrby 2002"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","Unclear risk","CD004406","O'Doherty 1996"
"Low risk","Low risk",NA,NA,"Low risk","Low risk","Unclear risk","High risk","CD004406","Randolph 1985"
"Unclear risk","Low risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","Reed 1991"
"Unclear risk","Unclear risk",NA,NA,"Low risk","High risk","Unclear risk","Unclear risk","CD004406","Stein 1991"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk","Unclear risk","Unclear risk","CD004406","Trickett 1973"
"Low risk","Low risk",NA,NA,"Low risk","High risk","Unclear risk","High risk","CD004406","Watkins 1997"
"Low risk","Low risk",NA,NA,"Low risk","Low risk","Low risk","Low risk","CD004417","Arroll 2002a"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Low risk","Low risk","Unclear risk","CD004417","Chao 2008"
"Low risk","High risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004417","De la Poza Abad 2016"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Low risk","Low risk","Low risk","CD004417","Dowell 2001"
"Unclear risk","High risk",NA,NA,"Low risk","High risk","Low risk","High risk","CD004417","El-Daher 1991"
"Low risk","High risk",NA,NA,"High risk","Low risk","Unclear risk","Unclear risk","CD004417","Gerber 1990"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004417","Little 1997"
"Low risk","Low risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004417","Little 2001"
"Low risk","Low risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004417","Little 2005a"
"Low risk","High risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004417","Mas-Dalmau 2021"
"Low risk","High risk",NA,NA,"Low risk","Low risk","Low risk","High risk","CD004417","Pichichero 1987"
"Low risk","Low risk",NA,NA,"High risk","Low risk","Low risk","Low risk","CD004417","Spiro 2006"
