"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Amorosa 2017"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Atad 1996"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Bagratee 1990"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001233","Barda 2018"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Benzineb 1996"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Biron-Shental 2004"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Blumenthal 1990"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Unclear risk","CD001233","Browne 2011"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Carbone 2013"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Casey 1995"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Chavakula 2015"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Chua 1997"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Cromi 2011"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Cromi 2012"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD001233","Culver 2004"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Dalui 2005"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Deo 2012"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Deo 2013"
